2020-04-01 13:48:41:4841 info: User: aadlercr | Method: GET | To: /api/users/me | Query: {}
2020-04-01 13:48:41:4841 info: User: aadlercr | Method: GET | To: /api/blogs | Query: {"page":"1","order":"popular","reverse":"false"}
2020-04-01 13:48:41:4841 info: User: aadlercr | Method: GET | To: /api/blogs/31 | Query: {}
2020-04-01 13:48:41:4841 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/311 | Query: {"page":"1"}
2020-04-01 13:49:44:4944 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"content":"test","threadId":338,"originLink":"/forum/31","OPAuthorId":1}
2020-04-01 13:50:53:5053 info: User: aadlercr | Method: GET | To: /api/users/me | Query: {}
2020-04-01 13:50:53:5053 info: User: aadlercr | Method: GET | To: /api/blogs | Query: {"page":"1","order":"popular","reverse":"false"}
2020-04-01 13:50:53:5053 info: User: aadlercr | Method: GET | To: /api/blogs/31 | Query: {}
2020-04-01 13:50:53:5053 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/311 | Query: {"page":"1"}
2020-04-01 13:50:56:5056 info: User: aadlercr | Method: GET | To: /api/users/me | Query: {}
2020-04-01 13:50:56:5056 info: User: aadlercr | Method: GET | To: /api/blogs | Query: {"page":"1","order":"popular","reverse":"false"}
2020-04-01 13:50:56:5056 info: User: aadlercr | Method: GET | To: /api/blogs/31 | Query: {}
2020-04-01 13:50:56:5056 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/311 | Query: {"page":"1"}
2020-04-01 13:55:25:5525 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"content":"test","threadId":339,"originLink":"/forum/31","OPAuthorId":1}
2020-04-01 13:56:00:560 info: User: aadlercr | Method: GET | To: /api/users/me | Query: {}
2020-04-01 13:56:00:560 info: User: aadlercr | Method: GET | To: /api/blogs | Query: {"page":"1","order":"popular","reverse":"false"}
2020-04-01 13:56:00:560 info: User: aadlercr | Method: GET | To: /api/blogs/31 | Query: {}
2020-04-01 13:56:01:561 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/311 | Query: {"page":"1"}
2020-04-01 13:56:05:565 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"content":"test","threadId":339,"originLink":"/forum/31","OPAuthorId":1}
2020-04-01 13:56:13:5613 info: User: aadlercr | Method: GET | To: /api/users/me | Query: {}
2020-04-01 13:56:13:5613 info: User: aadlercr | Method: GET | To: /api/blogs | Query: {"page":"1","order":"popular","reverse":"false"}
2020-04-01 13:56:13:5613 info: User: aadlercr | Method: GET | To: /api/blogs/31 | Query: {}
2020-04-01 13:56:13:5613 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/311 | Query: {"page":"1"}
2020-04-01 13:56:18:5618 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"content":"t1","threadId":345,"originLink":"/forum/31","OPAuthorId":1}
2020-04-01 13:57:46:5746 info: User: aadlercr | Method: GET | To: /api/users/me | Query: {}
2020-04-01 13:57:46:5746 info: User: aadlercr | Method: GET | To: /api/blogs | Query: {"page":"1","order":"popular","reverse":"false"}
2020-04-01 13:57:46:5746 info: User: aadlercr | Method: GET | To: /api/blogs/31 | Query: {}
2020-04-01 13:57:46:5746 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/311 | Query: {"page":"1"}
2020-04-01 13:57:53:5753 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"content":"t2","threadId":347,"originLink":"/forum/31","OPAuthorId":1}
2020-04-01 13:58:04:584 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"content":"t3","threadId":347,"originLink":"/forum/31","OPAuthorId":1}
2020-04-01 14:00:15:015 info: User: aadlercr | Method: GET | To: /api/users/me | Query: {}
2020-04-01 14:00:15:015 info: User: aadlercr | Method: GET | To: /api/blogs | Query: {"page":"1","order":"popular","reverse":"false"}
2020-04-01 14:00:15:015 info: User: aadlercr | Method: GET | To: /api/blogs/31 | Query: {}
2020-04-01 14:00:15:015 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/311 | Query: {"page":"1"}
2020-04-01 14:00:28:028 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"content":"t4","threadId":349,"originLink":"/forum/31","OPAuthorId":1}
2020-04-01 14:00:39:039 info: User: aadlercr | Method: GET | To: /api/users/me | Query: {}
2020-04-01 14:00:39:039 info: User: aadlercr | Method: GET | To: /api/blogs | Query: {"page":"1","order":"popular","reverse":"false"}
2020-04-01 14:00:39:039 info: User: aadlercr | Method: GET | To: /api/blogs/31 | Query: {}
2020-04-01 14:00:39:039 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/311 | Query: {"page":"1"}
2020-04-01 14:00:47:047 info: User: aadlercr | Method: GET | To: /api/blogs/22 | Query: {}
2020-04-01 14:00:47:047 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/289 | Query: {"page":"1"}
2020-04-01 14:00:49:049 info: User: aadlercr | Method: GET | To: /api/blogs/15 | Query: {}
2020-04-01 14:00:49:049 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/252 | Query: {"page":"1"}
